Date,Index,Winner,Looser,Score
2019-03-22,1,lucky_looser,uladbohdan,1:0
2019-03-22,2,iraborsch,lucky_looser,1:0
2019-03-22,3,uladbohdan,iraborsch,1:0
2019-03-22,4,lucky_looser,uladbohdan,1:0
2019-03-22,5,lucky_looser,iraborsch,1:0
2019-03-22,6,uladbohdan,iraborsch,1:0
2019-03-22,7,lucky_looser,uladbohdan,1:0
2019-03-22,8,lucky_looser,iraborsch,1:0
2019-03-22,9,iraborsch,uladbohdan,1:0
2019-03-27,1,klicunou,lucky_looser,5:4
2019-04-25,1,lucky_looser,BG_grab,8:1
2019-05-03,1,lucky_looser,BG_grab,6:3
2019-05-08,1,Drapegnik,BG_grab,2:1
2019-05-08,2,klicunou,Drapegnik,2:1
2019-05-08,3,klicunou,BG_grab,3:0
2019-05-08,4,Drapegnik,BG_grab,3:0
2019-05-08,5,klicunou,Drapegnik,3:0
2019-05-08,6,klicunou,BG_grab,3:0
2019-05-08,7,klicunou,Drapegnik,3:0
2019-05-08,8,Drapegnik,BG_grab,3:0
2019-05-08,9,klicunou,BG_grab,3:0
2019-05-11,1,lucky_looser,iraborsch,6:2
2019-06-14,1,klicunou,lucky_looser,6:2
2019-06-20,1,lucky_looser,BG_grab,7:3
2019-07-05,1,lucky_looser,BG_grab,7:2
2019-08-04,1,lucky_looser,BG_grab,7:4
2019-08-06,1,Drapegnik,VladDeykun,2:1
2019-08-06,2,lucky_looser,iraborsch,3:0
2019-08-06,3,lucky_looser,Drapegnik,3:0
2019-08-06,4,VladDeykun,iraborsch,3:0
2019-08-06,5,Drapegnik,iraborsch,5:0
2019-08-06,6,lucky_looser,VladDeykun,4:0
2019-08-14,1,klicunou,VladDeykun,2:1
2019-08-14,2,lucky_looser,uladbohdan,3:0
2019-08-14,3,klicunou,lucky_looser,2:1
2019-08-14,4,VladDeykun,uladbohdan,3:0
2019-08-14,5,klicunou,uladbohdan,2:1
2019-08-14,6,lucky_looser,VladDeykun,3:0
2019-08-22,1,lucky_looser,klicunou,2:0
2019-08-22,2,lucky_looser,iraborsch,2:0
2019-08-22,3,klicunou,iraborsch,2:0
2019-08-22,4,lucky_looser,klicunou,1:0
2019-08-24,1,lucky_looser,uladbohdan,5:0
2019-08-30,1,BG_grab,iraborsch,3:0
2019-09-04,1,lucky_looser,iraborsch,5:0
2019-09-08,1,BG_grab,uNikalas,8:3
2019-09-19,1,lucky_looser,iraborsch,2:0
2019-09-19,2,lucky_looser,uladbohdan,2:0
2019-09-19,3,uladbohdan,iraborsch,2:0
2019-09-19,4,lucky_looser,iraborsch,2:0
2019-09-19,5,lucky_looser,uladbohdan,2:0
2019-09-29,1,lucky_looser,iraborsch,3:1
2019-09-29,2,BG_grab,uNikalas,5:4
2019-09-29,3,lucky_looser,uNikalas,6:1
2019-09-30,1,klicunou,rubanau,3:1
